Time,Corrente,Tensão
t/ms,i/nA,U/V
"0,0","-0,1","0,3"
"500,0","-0,1","0,33"
"1000,0","-0,1","0,48"
"1500,0","-0,1","1,59"
"2000,0","-0,1","2,67"
"2500,0","-0,1","3,74"
"3000,0","-0,05","4,79"
"3500,0","-0,1","5,78"
"4000,0","-0,05","6,77"
"4500,0","0,0","7,7"
"5000,0","0,05","8,63"
"5500,0","0,05","9,53"
"6000,0","0,1","10,4"
"6500,0","0,15","11,26"
"7000,0","0,2","12,07"
"7500,0","0,25","12,88"
"8000,0","0,2","13,69"
"8500,0","0,2","14,41"
"9000,0","0,2","15,19"
"9500,0","0,3","15,91"
"10000,0","0,44","16,6"
"10500,0","0,49","17,29"
"11000,0","0,44","17,98"
"11500,0","0,39","18,63"
"12000,0","0,35","19,23"
"12500,0","0,35","19,86"
"13000,0","0,44","20,46"
"13500,0","0,59","21,06"
"14000,0","0,84","21,63"
"14500,0","0,89","22,2"
"15000,0","0,84","22,74"
"15500,0","0,69","23,28"
"16000,0","0,54","23,82"
"16500,0","0,44","24,33"
"17000,0","0,44","24,84"
"17500,0","0,54","25,32"
"18000,0","0,84","25,76"
"18500,0","1,14","26,27"
"19000,0","1,48","26,72"
"19500,0","1,63","27,17"
"20000,0","1,58","27,59"
"20500,0","1,33","28,01"
"21000,0","1,04","28,46"
"21500,0","0,79","28,85"
"22000,0","0,64","29,27"
"22500,0","0,64","29,63"
"23000,0","0,74","30,02"
"23500,0","0,94","30,41"
"24000,0","1,28","30,74"
"24500,0","1,63","31,1"
"25000,0","2,07","31,46"
"25500,0","2,42","31,82"
"26000,0","2,62","32,15"
"26500,0","2,62","32,48"
"27000,0","2,37","32,78"
"27500,0","1,97","33,1"
"28000,0","1,53","33,4"
"28500,0","1,18","33,7"
"29000,0","0,94","34,0"
"29500,0","0,79","34,3"
"30000,0","0,79","34,54"
"30500,0","0,89","34,81"
"31000,0","1,04","35,08"
"31500,0","1,28","35,38"
"32000,0","1,58","35,62"
"32500,0","1,97","35,89"
"33000,0","2,37","36,1"
"33500,0","2,81","36,37"
"34000,0","3,26","36,58"
"34500,0","3,65","36,82"
"35000,0","3,95","37,03"
"35500,0","4,15","37,24"
"36000,0","4,1","37,48"
"36500,0","3,85","37,69"
"37000,0","3,5","37,9"
"37500,0","3,11","38,11"
"38000,0","2,62","38,29"
"38500,0","2,17","38,47"
"39000,0","1,78","38,68"
"39500,0","1,48","38,86"
"40000,0","1,23","39,04"
"40500,0","1,04","39,22"
"41000,0","0,99","39,4"
"41500,0","0,99","39,55"
"42000,0","1,04","39,73"
"42500,0","1,18","39,91"
"43000,0","1,33","40,06"
"43500,0","1,58","40,21"
"44000,0","1,78","40,35"
"44500,0","2,02","40,5"
"45000,0","2,32","40,65"
"45500,0","2,67","40,8"
"46000,0","3,01","40,92"
"46500,0","3,46","41,07"
"47000,0","3,8","41,22"
"47500,0","4,24","41,34"
"48000,0","4,64","41,49"
"48500,0","5,08","41,61"
"49000,0","5,43","41,73"
"49500,0","5,82","41,85"
"50000,0","6,12","42,0"
"50500,0","6,42","42,09"
"51000,0","6,56","42,21"
"51500,0","6,66","42,3"
"52000,0","6,66","42,42"
"52500,0","6,61","42,54"
"53000,0","6,47","42,63"
"53500,0","6,27","42,75"
"54000,0","6,07","42,84"
"54500,0","5,77","42,96"
"55000,0","5,48","43,05"
"55500,0","5,08","43,14"
"56000,0","4,64","43,26"
"56500,0","4,24","43,35"
"57000,0","3,8","43,44"
"57500,0","3,46","43,53"
"58000,0","3,11","43,59"
"58500,0","2,81","43,71"
"59000,0","2,52","43,8"
"59500,0","2,32","43,86"
"60000,0","2,07","43,95"
"60500,0","1,92","44,01"
"61000,0","1,78","44,1"
"61500,0","1,63","44,16"
"62000,0","1,53","44,25"
"62500,0","1,48","44,31"
"63000,0","1,43","44,4"
"63500,0","1,38","44,46"
"64000,0","1,38","44,52"
"64500,0","1,38","44,61"
"65000,0","1,38","44,67"
"65500,0","1,38","44,7"
"66000,0","1,43","44,79"
"66500,0","1,48","44,85"
"67000,0","1,53","44,91"
"67500,0","1,58","44,97"
"68000,0","1,68","45,06"
