Time,Corrente,Tensão
t/ms,I/nA,U/V
"0,0","-0,15","3,42"
"500,0","-0,15","4,46"
"1000,0","-0,1","5,48"
"1500,0","-0,1","1,23"
"2000,0","-0,15","0,42"
"2500,0","-0,15","0,33"
"3000,0","-0,15","0,3"
"3500,0","-0,2","0,75"
"4000,0","-0,15","1,86"
"4500,0","-0,15","2,94"
"5000,0","-0,1","3,98"
"5500,0","-0,15","5,06"
"6000,0","-0,1","6,02"
"6500,0","-0,1","7,01"
"7000,0","-0,05","7,94"
"7500,0","0,0","8,87"
"8000,0","0,05","9,77"
"8500,0","0,05","10,64"
"9000,0","0,1","11,47"
"9500,0","0,2","12,31"
"10000,0","0,2","13,09"
"10500,0","0,2","13,9"
"11000,0","0,25","14,65"
"11500,0","0,25","15,4"
"12000,0","0,3","16,09"
"12500,0","0,39","16,81"
"13000,0","0,49","17,47"
"13500,0","0,49","18,16"
"14000,0","0,44","18,78"
"14500,0","0,39","19,41"
"15000,0","0,35","20,01"
"15500,0","0,44","20,64"
"16000,0","0,64","21,21"
"16500,0","0,84","21,78"
"17000,0","0,99","22,35"
"17500,0","0,94","22,89"
"18000,0","0,79","23,43"
"18500,0","0,59","23,94"
"19000,0","0,54","24,45"
"19500,0","0,54","24,96"
"20000,0","0,64","25,44"
"20500,0","0,84","25,91"
"21000,0","1,18","26,33"
"21500,0","1,48","26,81"
"22000,0","1,63","27,26"
"22500,0","1,58","27,71"
"23000,0","1,38","28,1"
"23500,0","1,09","28,52"
"24000,0","0,74","28,91"
"24500,0","0,59","29,33"
"25000,0","0,59","29,69"
"25500,0","0,64","30,08"
"26000,0","0,84","30,44"
"26500,0","1,14","30,8"
"27000,0","1,48","31,13"
"27500,0","1,83","31,49"
"28000,0","2,17","31,82"
"28500,0","2,42","32,18"
"29000,0","2,47","32,51"
"29500,0","2,27","32,81"
"30000,0","1,97","33,1"
"30500,0","1,58","33,4"
"31000,0","1,23","33,7"
"31500,0","0,99","33,97"
"32000,0","0,79","34,27"
"32500,0","0,69","34,51"
"33000,0","0,79","34,81"
"33500,0","0,89","35,08"
"34000,0","1,09","35,32"
"34500,0","1,33","35,59"
"35000,0","1,63","35,83"
"35500,0","1,97","36,07"
"36000,0","2,32","36,31"
"36500,0","2,71","36,52"
"37000,0","3,06","36,76"
"37500,0","3,31","37,0"
"38000,0","3,5","37,21"
"38500,0","3,55","37,42"
"39000,0","3,41","37,63"
"39500,0","3,21","37,84"
"40000,0","2,86","38,02"
"40500,0","2,47","38,26"
"41000,0","2,07","38,41"
"41500,0","1,73","38,62"
"42000,0","1,38","38,77"
"42500,0","1,18","38,98"
"43000,0","0,94","39,13"
"43500,0","0,84","39,34"
"44000,0","0,79","39,49"
"44500,0","0,79","39,67"
"45000,0","0,84","39,82"
"45500,0","0,94","39,97"
"46000,0","1,09","40,12"
"46500,0","1,28","40,27"
"47000,0","1,48","40,38"
"47500,0","1,68","40,53"
"48000,0","1,92","40,71"
"48500,0","2,22","40,83"
"49000,0","2,47","40,98"
"49500,0","2,71","41,1"
"50000,0","3,01","41,25"
"50500,0","3,31","41,37"
"51000,0","3,55","41,49"
"51500,0","3,85","41,61"
"52000,0","4,1","41,73"
"52500,0","4,29","41,85"
"53000,0","4,49","41,97"
"53500,0","4,69","42,09"
"54000,0","4,79","42,18"
"54500,0","4,89","42,3"
"55000,0","4,89","42,39"
"55500,0","4,79","42,48"
"56000,0","4,69","42,63"
"56500,0","4,49","42,72"
"57000,0","4,29","42,84"
"57500,0","4,05","42,9"
"58000,0","3,8","43,02"
"58500,0","3,5","43,11"
"59000,0","3,26","43,2"
"59500,0","2,96","43,29"
"60000,0","2,71","43,38"
"60500,0","2,47","43,47"
"61000,0","2,22","43,56"
"61500,0","2,02","43,65"
"62000,0","1,83","43,71"
"62500,0","1,63","43,8"
"63000,0","1,48","43,86"
"63500,0","1,38","43,95"
"64000,0","1,23","44,01"
"64500,0","1,14","44,1"
"65000,0","1,09","44,16"
"65500,0","0,99","44,25"
"66000,0","0,99","44,31"
"66500,0","0,99","44,37"
"67000,0","0,94","44,46"
"67500,0","0,99","44,52"
"68000,0","0,99","44,58"
"68500,0","1,04","44,64"
"69000,0","1,04","44,7"
"69500,0","1,04","44,76"
"70000,0","1,09","44,82"
"70500,0","1,14","44,88"
"71000,0","1,18","44,94"
"71500,0","1,28","45,0"
"72000,0","1,38","45,06"
