Time,Corrente,Tensão
t/ms,,U/V
"0,0",-0.015,"3,42"
"500,0",-0.015,"4,46"
"1000,0",-0.01,"5,48"
"1500,0",-0.01,"1,23"
"2000,0",-0.015,"0,42"
"2500,0",-0.015,"0,33"
"3000,0",-0.015,"0,3"
"3500,0",-0.02,"0,75"
"4000,0",-0.015,"1,86"
"4500,0",-0.015,"2,94"
"5000,0",-0.01,"3,98"
"5500,0",-0.015,"5,06"
"6000,0",-0.01,"6,02"
"6500,0",-0.01,"7,01"
"7000,0",-0.005,"7,94"
"7500,0",0.0,"8,87"
"8000,0",0.005,"9,77"
"8500,0",0.005,"10,64"
"9000,0",0.01,"11,47"
"9500,0",0.02,"12,31"
"10000,0",0.02,"13,09"
"10500,0",0.02,"13,9"
"11000,0",0.025,"14,65"
"11500,0",0.025,"15,4"
"12000,0",0.03,"16,09"
"12500,0",0.039,"16,81"
"13000,0",0.049,"17,47"
"13500,0",0.049,"18,16"
"14000,0",0.044,"18,78"
"14500,0",0.039,"19,41"
"15000,0",0.034999999999999996,"20,01"
"15500,0",0.044,"20,64"
"16000,0",0.064,"21,21"
"16500,0",0.08399999999999999,"21,78"
"17000,0",0.099,"22,35"
"17500,0",0.094,"22,89"
"18000,0",0.079,"23,43"
"18500,0",0.059,"23,94"
"19000,0",0.054000000000000006,"24,45"
"19500,0",0.054000000000000006,"24,96"
"20000,0",0.064,"25,44"
"20500,0",0.08399999999999999,"25,91"
"21000,0",0.118,"26,33"
"21500,0",0.148,"26,81"
"22000,0",0.16299999999999998,"27,26"
"22500,0",0.158,"27,71"
"23000,0",0.13799999999999998,"28,1"
"23500,0",0.10900000000000001,"28,52"
"24000,0",0.074,"28,91"
"24500,0",0.059,"29,33"
"25000,0",0.059,"29,69"
"25500,0",0.064,"30,08"
"26000,0",0.08399999999999999,"30,44"
"26500,0",0.11399999999999999,"30,8"
"27000,0",0.148,"31,13"
"27500,0",0.183,"31,49"
"28000,0",0.217,"31,82"
"28500,0",0.242,"32,18"
"29000,0",0.24700000000000003,"32,51"
"29500,0",0.227,"32,81"
"30000,0",0.197,"33,1"
"30500,0",0.158,"33,4"
"31000,0",0.123,"33,7"
"31500,0",0.099,"33,97"
"32000,0",0.079,"34,27"
"32500,0",0.06899999999999999,"34,51"
"33000,0",0.079,"34,81"
"33500,0",0.089,"35,08"
"34000,0",0.10900000000000001,"35,32"
"34500,0",0.133,"35,59"
"35000,0",0.16299999999999998,"35,83"
"35500,0",0.197,"36,07"
"36000,0",0.23199999999999998,"36,31"
"36500,0",0.271,"36,52"
"37000,0",0.306,"36,76"
"37500,0",0.331,"37,0"
"38000,0",0.35,"37,21"
"38500,0",0.355,"37,42"
"39000,0",0.341,"37,63"
"39500,0",0.321,"37,84"
"40000,0",0.286,"38,02"
"40500,0",0.24700000000000003,"38,26"
"41000,0",0.207,"38,41"
"41500,0",0.173,"38,62"
"42000,0",0.13799999999999998,"38,77"
"42500,0",0.118,"38,98"
"43000,0",0.094,"39,13"
"43500,0",0.08399999999999999,"39,34"
"44000,0",0.079,"39,49"
"44500,0",0.079,"39,67"
"45000,0",0.08399999999999999,"39,82"
"45500,0",0.094,"39,97"
"46000,0",0.10900000000000001,"40,12"
"46500,0",0.128,"40,27"
"47000,0",0.148,"40,38"
"47500,0",0.16799999999999998,"40,53"
"48000,0",0.192,"40,71"
"48500,0",0.22200000000000003,"40,83"
"49000,0",0.24700000000000003,"40,98"
"49500,0",0.271,"41,1"
"50000,0",0.301,"41,25"
"50500,0",0.331,"41,37"
"51000,0",0.355,"41,49"
"51500,0",0.385,"41,61"
"52000,0",0.41,"41,73"
"52500,0",0.429,"41,85"
"53000,0",0.449,"41,97"
"53500,0",0.46900000000000003,"42,09"
"54000,0",0.479,"42,18"
"54500,0",0.489,"42,3"
"55000,0",0.489,"42,39"
"55500,0",0.479,"42,48"
"56000,0",0.46900000000000003,"42,63"
"56500,0",0.449,"42,72"
"57000,0",0.429,"42,84"
"57500,0",0.40499999999999997,"42,9"
"58000,0",0.38,"43,02"
"58500,0",0.35,"43,11"
"59000,0",0.32599999999999996,"43,2"
"59500,0",0.296,"43,29"
"60000,0",0.271,"43,38"
"60500,0",0.24700000000000003,"43,47"
"61000,0",0.22200000000000003,"43,56"
"61500,0",0.202,"43,65"
"62000,0",0.183,"43,71"
"62500,0",0.16299999999999998,"43,8"
"63000,0",0.148,"43,86"
"63500,0",0.13799999999999998,"43,95"
"64000,0",0.123,"44,01"
"64500,0",0.11399999999999999,"44,1"
"65000,0",0.10900000000000001,"44,16"
"65500,0",0.099,"44,25"
"66000,0",0.099,"44,31"
"66500,0",0.099,"44,37"
"67000,0",0.094,"44,46"
"67500,0",0.099,"44,52"
"68000,0",0.099,"44,58"
"68500,0",0.10400000000000001,"44,64"
"69000,0",0.10400000000000001,"44,7"
"69500,0",0.10400000000000001,"44,76"
"70000,0",0.10900000000000001,"44,82"
"70500,0",0.11399999999999999,"44,88"
"71000,0",0.118,"44,94"
"71500,0",0.128,"45,0"
"72000,0",0.13799999999999998,"45,06"
