Time,Corrente,Tensão
t/ms,,U/V
"0,0",-0.01,"0,3"
"500,0",-0.01,"0,33"
"1000,0",-0.01,"0,48"
"1500,0",-0.01,"1,59"
"2000,0",-0.01,"2,67"
"2500,0",-0.01,"3,74"
"3000,0",-0.005,"4,79"
"3500,0",-0.01,"5,78"
"4000,0",-0.005,"6,77"
"4500,0",0.0,"7,7"
"5000,0",0.005,"8,63"
"5500,0",0.005,"9,53"
"6000,0",0.01,"10,4"
"6500,0",0.015,"11,26"
"7000,0",0.02,"12,07"
"7500,0",0.025,"12,88"
"8000,0",0.02,"13,69"
"8500,0",0.02,"14,41"
"9000,0",0.02,"15,19"
"9500,0",0.03,"15,91"
"10000,0",0.044,"16,6"
"10500,0",0.049,"17,29"
"11000,0",0.044,"17,98"
"11500,0",0.039,"18,63"
"12000,0",0.034999999999999996,"19,23"
"12500,0",0.034999999999999996,"19,86"
"13000,0",0.044,"20,46"
"13500,0",0.059,"21,06"
"14000,0",0.08399999999999999,"21,63"
"14500,0",0.089,"22,2"
"15000,0",0.08399999999999999,"22,74"
"15500,0",0.06899999999999999,"23,28"
"16000,0",0.054000000000000006,"23,82"
"16500,0",0.044,"24,33"
"17000,0",0.044,"24,84"
"17500,0",0.054000000000000006,"25,32"
"18000,0",0.08399999999999999,"25,76"
"18500,0",0.11399999999999999,"26,27"
"19000,0",0.148,"26,72"
"19500,0",0.16299999999999998,"27,17"
"20000,0",0.158,"27,59"
"20500,0",0.133,"28,01"
"21000,0",0.10400000000000001,"28,46"
"21500,0",0.079,"28,85"
"22000,0",0.064,"29,27"
"22500,0",0.064,"29,63"
"23000,0",0.074,"30,02"
"23500,0",0.094,"30,41"
"24000,0",0.128,"30,74"
"24500,0",0.16299999999999998,"31,1"
"25000,0",0.207,"31,46"
"25500,0",0.242,"31,82"
"26000,0",0.262,"32,15"
"26500,0",0.262,"32,48"
"27000,0",0.23700000000000002,"32,78"
"27500,0",0.197,"33,1"
"28000,0",0.153,"33,4"
"28500,0",0.118,"33,7"
"29000,0",0.094,"34,0"
"29500,0",0.079,"34,3"
"30000,0",0.079,"34,54"
"30500,0",0.089,"34,81"
"31000,0",0.10400000000000001,"35,08"
"31500,0",0.128,"35,38"
"32000,0",0.158,"35,62"
"32500,0",0.197,"35,89"
"33000,0",0.23700000000000002,"36,1"
"33500,0",0.281,"36,37"
"34000,0",0.32599999999999996,"36,58"
"34500,0",0.365,"36,82"
"35000,0",0.395,"37,03"
"35500,0",0.41500000000000004,"37,24"
"36000,0",0.41,"37,48"
"36500,0",0.385,"37,69"
"37000,0",0.35,"37,9"
"37500,0",0.311,"38,11"
"38000,0",0.262,"38,29"
"38500,0",0.217,"38,47"
"39000,0",0.178,"38,68"
"39500,0",0.148,"38,86"
"40000,0",0.123,"39,04"
"40500,0",0.10400000000000001,"39,22"
"41000,0",0.099,"39,4"
"41500,0",0.099,"39,55"
"42000,0",0.10400000000000001,"39,73"
"42500,0",0.118,"39,91"
"43000,0",0.133,"40,06"
"43500,0",0.158,"40,21"
"44000,0",0.178,"40,35"
"44500,0",0.202,"40,5"
"45000,0",0.23199999999999998,"40,65"
"45500,0",0.267,"40,8"
"46000,0",0.301,"40,92"
"46500,0",0.346,"41,07"
"47000,0",0.38,"41,22"
"47500,0",0.42400000000000004,"41,34"
"48000,0",0.46399999999999997,"41,49"
"48500,0",0.508,"41,61"
"49000,0",0.5429999999999999,"41,73"
"49500,0",0.5820000000000001,"41,85"
"50000,0",0.612,"42,0"
"50500,0",0.642,"42,09"
"51000,0",0.6559999999999999,"42,21"
"51500,0",0.666,"42,3"
"52000,0",0.666,"42,42"
"52500,0",0.661,"42,54"
"53000,0",0.647,"42,63"
"53500,0",0.627,"42,75"
"54000,0",0.607,"42,84"
"54500,0",0.577,"42,96"
"55000,0",0.548,"43,05"
"55500,0",0.508,"43,14"
"56000,0",0.46399999999999997,"43,26"
"56500,0",0.42400000000000004,"43,35"
"57000,0",0.38,"43,44"
"57500,0",0.346,"43,53"
"58000,0",0.311,"43,59"
"58500,0",0.281,"43,71"
"59000,0",0.252,"43,8"
"59500,0",0.23199999999999998,"43,86"
"60000,0",0.207,"43,95"
"60500,0",0.192,"44,01"
"61000,0",0.178,"44,1"
"61500,0",0.16299999999999998,"44,16"
"62000,0",0.153,"44,25"
"62500,0",0.148,"44,31"
"63000,0",0.143,"44,4"
"63500,0",0.13799999999999998,"44,46"
"64000,0",0.13799999999999998,"44,52"
"64500,0",0.13799999999999998,"44,61"
"65000,0",0.13799999999999998,"44,67"
"65500,0",0.13799999999999998,"44,7"
"66000,0",0.143,"44,79"
"66500,0",0.148,"44,85"
"67000,0",0.153,"44,91"
"67500,0",0.158,"44,97"
"68000,0",0.16799999999999998,"45,06"
