Time,Corrente,Tensão
t/ms,i/nA,U/V
"0,0","3,16","2,34"
"500,0","1,92","2,91"
"1000,0","1,28","3,42"
"1500,0","0,74","3,95"
"2000,0","0,54","4,46"
"2500,0","0,44","4,94"
"3000,0","0,54","5,45"
"3500,0","0,99","5,93"
"4000,0","1,09","6,35"
"4500,0","1,18","6,83"
"5000,0","1,38","7,28"
"5500,0","1,58","7,7"
"6000,0","1,68","8,12"
"6500,0","1,78","8,51"
"7000,0","1,68","8,93"
"7500,0","2,17","9,32"
"8000,0","2,62","9,68"
"8500,0","2,57","10,04"
"9000,0","2,71","10,43"
"9500,0","3,11","10,79"
"10000,0","3,6","11,11"
"10500,0","4,0","11,44"
"11000,0","3,9","11,77"
"11500,0","3,31","12,1"
"12000,0","3,26","12,4"
"12500,0","2,91","12,73"
"13000,0","2,81","13,0"
"13500,0","2,76","13,27"
"14000,0","2,57","13,57"
"14500,0","2,52","13,84"
"15000,0","2,57","14,11"
"15500,0","2,81","14,38"
"16000,0","3,21","14,62"
"16500,0","3,7","14,89"
"17000,0","4,34","15,13"
"17500,0","5,13","15,37"
"18000,0","5,97","15,58"
"18500,0","6,71","15,82"
"19000,0","7,4","16,06"
"19500,0","7,85","16,27"
"20000,0","8,09","16,48"
"20500,0","7,95","16,66"
"21000,0","7,5","16,87"
"21500,0","6,81","17,08"
"22000,0","6,12","17,26"
"22500,0","5,43","17,44"
"23000,0","4,84","17,62"
"23500,0","4,15","17,83"
"24000,0","3,6","18,01"
"24500,0","3,11","18,16"
"25000,0","2,81","18,33"
"25500,0","2,71","18,48"
"26000,0","2,67","18,66"
"26500,0","2,76","18,81"
"27000,0","2,96","18,96"
"27500,0","3,21","19,11"
"28000,0","3,5","19,23"
"28500,0","3,95","19,41"
"29000,0","4,39","19,53"
"29500,0","4,89","19,68"
"30000,0","5,48","19,8"
"30500,0","6,07","19,92"
"31000,0","6,56","20,07"
"31500,0","7,16","20,19"
"32000,0","7,8","20,31"
"32500,0","8,39","20,43"
"33000,0","9,03","20,55"
"33500,0","9,62","20,67"
"34000,0","10,61","20,76"
"34500,0","11,2","20,88"
"35000,0","11,65","21,0"
"35500,0","12,19","21,09"
"36000,0","12,78","21,18"
"36500,0","13,33","21,3"
"37000,0","13,82","21,39"
"37500,0","14,12","21,48"
"38000,0","14,12","21,6"
"38500,0","13,87","21,69"
"39000,0","13,52","21,75"
"39500,0","12,98","21,87"
"40000,0","12,34","21,96"
"40500,0","11,6","22,05"
"41000,0","10,86","22,11"
"41500,0","9,67","22,2"
"42000,0","8,79","22,26"
"42500,0","8,09","22,35"
"43000,0","7,45","22,44"
"43500,0","6,91","22,53"
"44000,0","6,37","22,56"
"44500,0","5,87","22,65"
"45000,0","5,43","22,71"
"45500,0","5,08","22,8"
"46000,0","4,79","22,86"
"46500,0","4,54","22,92"
"47000,0","4,39","22,98"
"47500,0","4,24","23,04"
"48000,0","4,15","23,07"
"48500,0","4,1","23,16"
"49000,0","4,1","23,22"
"49500,0","4,1","23,28"
"50000,0","4,15","23,31"
"50500,0","4,2","23,37"
"51000,0","4,24","23,46"
"51500,0","4,54","23,49"
"52000,0","4,64","23,55"
"52500,0","4,89","23,61"
"53000,0","5,03","23,64"
"53500,0","5,23","23,7"
"54000,0","5,43","23,76"
"54500,0","5,68","23,79"
"55000,0","5,92","23,85"
"55500,0","6,12","23,88"
"56000,0","6,81","23,91"
"56500,0","7,06","23,97"
"57000,0","7,11","24,0"
"57500,0","7,26","24,06"
"58000,0","7,5","24,09"
"58500,0","7,7","24,12"
"59000,0","7,95","24,18"
"59500,0","8,24","24,21"
"60000,0","8,54","24,24"
"60500,0","8,84","24,27"
"61000,0","9,13","24,33"
"61500,0","9,43","24,36"
"62000,0","9,67","24,36"
"62500,0","10,07","24,39"
"63000,0","10,37","24,42"
"63500,0","10,66","24,48"
"64000,0","11,01","24,51"
"64500,0","11,3","24,54"
"65000,0","11,7","24,54"
"65500,0","11,99","24,57"
"66000,0","12,24","24,6"
"66500,0","12,54","24,66"
"67000,0","12,78","24,66"
"67500,0","13,18","24,69"
"68000,0","13,52","24,72"
"68500,0","13,87","24,75"
"69000,0","14,26","24,78"
"69500,0","14,66","24,81"
"70000,0","15,0","24,84"
"70500,0","15,4","24,87"
"71000,0","15,79","24,87"
"71500,0","16,09","24,93"
"72000,0","16,49","24,93"
"72500,0","16,78","24,93"
"73000,0","17,08","24,96"
"73500,0","17,32","24,99"
"74000,0","17,57","24,99"
"74500,0","17,82","24,99"
"75000,0","18,11","25,05"
